Thu Apr  2 17:07:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   32C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation returns: -82.80493627921068
Evaluation returns: -83.89995370976888
Evaluation returns: -82.18431018172897
Evaluation returns: -83.8770087254784
Evaluation returns: -75.59339320654774
Evaluation returns: -73.45930528757106
Evaluation returns: -73.06541845202193
Evaluation returns: -70.55761900165153
Evaluation returns: -68.66987089135992
Evaluation returns: -73.13405774424004
Evaluation returns: -67.06043337243636
Evaluation returns: -64.93754651208846
Evaluation returns: -58.252249627537665
Evaluation returns: -52.47234730055224
Evaluation returns: -58.60392830685428
Evaluation returns: -60.892217647891584
Evaluation returns: -62.49685996153407
Evaluation returns: -61.703288574376174
Evaluation returns: -59.94030894703976
Evaluation returns: -58.167354688044234
Evaluation returns: -63.231112822606384
Evaluation returns: -60.934993640797515
Evaluation returns: -58.964817128882274
Evaluation returns: -67.66848241975939
Evaluation returns: -66.21297768033789
Evaluation returns: -66.23685525501998
Evaluation returns: -68.89425048531186
Evaluation returns: -71.06676576977917
Evaluation returns: -73.65873374529397
Evaluation returns: -72.56344159735491
Evaluation returns: -73.63495979586409
Evaluation returns: -75.16306678708897
Evaluation returns: -82.09208522481762
Evaluation returns: -79.01884986584096
Evaluation returns: -79.48677029236205
Evaluation returns: -77.46818212727356
Evaluation returns: -73.13546461585196
Evaluation returns: -69.21374623257138
Evaluation returns: -64.6962904154668
Evaluation returns: -60.51135890057789
Evaluation returns: -57.31902560801736
Evaluation returns: -58.93765046570079
Evaluation returns: -58.349826494821414
Evaluation returns: -57.812564193897494
Evaluation returns: -56.364818828969895
Evaluation returns: -54.71488292771321
Evaluation returns: -56.13669063459046
Evaluation returns: -54.93165102257492
Evaluation returns: -57.21793161737812
Evaluation returns: -61.885633009626375
Evaluation returns: -64.69078137398061
Evaluation returns: -60.65879358306968
Evaluation returns: -50.37471363166707
Evaluation returns: -31.800791754830083
Evaluation returns: -18.267468105095258
Evaluation returns: -7.4182178164053365
Evaluation returns: 9.418276923622432
Evaluation returns: 25.908257079956126
Evaluation returns: 30.42029119516156
Evaluation returns: 51.30040004237641
Evaluation returns: 66.96960342562734
Evaluation returns: 91.66139396047694
Evaluation returns: 99.07454018263184
Evaluation returns: 105.32880244169355
Evaluation returns: 116.3010721996581
Evaluation returns: 128.28878712109184
Evaluation returns: 135.3849511698991
Evaluation returns: 142.51417714603866
Evaluation returns: 163.8552344242813
Evaluation returns: 172.60867155563164
Evaluation returns: 170.2320998228991
Evaluation returns: 165.34974783447709
Evaluation returns: 174.82839298440632
Evaluation returns: 176.98665240911652
Evaluation returns: 178.88811148885227
Evaluation returns: 177.53675426760216
Evaluation returns: 178.10324184093847
Evaluation returns: 180.9398508232178
Evaluation returns: 187.31545885063127
Evaluation returns: 188.1451595600849
Evaluation returns: 205.34036586372886
Evaluation returns: 211.06069001058762
Evaluation returns: 214.94943548935552
Evaluation returns: 220.47830498665562
Evaluation returns: 221.5747457098821
Evaluation returns: 227.03328298470245
Evaluation returns: 230.66515104570317
Evaluation returns: 231.22165996615422
Evaluation returns: 226.00697507242407
Evaluation returns: 227.9713406782242
Evaluation returns: 223.9522592295072
Evaluation returns: 228.2452477697072
Evaluation returns: 224.2102800146808
Evaluation returns: 215.64245898371095
Evaluation returns: 211.5377477213883
Evaluation returns: 213.43342923889176
Evaluation returns: 213.509854565271
Evaluation returns: 208.11602689980145
Evaluation returns: 210.33980690610196
Evaluation returns: 205.42498864655704
Evaluation returns: 199.62725365117592
Evaluation returns: 181.94511975079794
Evaluation returns: 174.1900545870986
Evaluation returns: 166.68851138742224
Evaluation returns: 162.33682601729876
Evaluation returns: 152.78200148841665
Evaluation returns: 138.3456419600908
Evaluation returns: 122.07857621634298
Evaluation returns: 105.71787640881962
Evaluation returns: 99.73516399569789
Evaluation returns: 91.2855948830998
Evaluation returns: 81.85095788484605
Evaluation returns: 72.76809227047843
Evaluation returns: 65.88324983136421
Evaluation returns: 62.58604854579028
Evaluation returns: 46.81046101909806
Evaluation returns: 36.57007496790681
Evaluation returns: 25.00800789445744
Evaluation returns: 11.594789649100386
Evaluation returns: 0.2966668712710536
Evaluation returns: -10.741053735313775
Evaluation returns: -4.703909649446452
Evaluation returns: -3.6547035911320243
Evaluation returns: -5.152047548273086
Evaluation returns: -19.610059012446463
Evaluation returns: -27.16217509529206
Evaluation returns: -36.07527146813332
Evaluation returns: -39.07054583779484
Evaluation returns: -38.41006695989036
Evaluation returns: -48.53468003409383
Evaluation returns: -47.62394631633386
Evaluation returns: -53.03964167021853
Evaluation returns: -59.42503648740728
Evaluation returns: -62.61942319055892
Evaluation returns: -54.63481612414104
Evaluation returns: -41.43028235112535
Evaluation returns: -18.808776185361218
Evaluation returns: 13.233882884961417
Evaluation returns: 26.436625541927043
Evaluation returns: 51.7487054964522
Evaluation returns: 79.36227885146761
Evaluation returns: 102.0858295478861
Evaluation returns: 104.60507583932697
Evaluation returns: 112.35789094054101
Evaluation returns: 114.29802482867888
Evaluation returns: 114.3091643039825
Evaluation returns: 120.72530215340748
Evaluation returns: 114.59235836277813
Evaluation returns: 122.96993636535395
Evaluation returns: 115.23369315317127
Evaluation returns: 106.77155144683609
Evaluation returns: 91.97044055233576
Evaluation returns: 93.8941904115994
Evaluation returns: 107.53995342628443
Evaluation returns: 110.78382219314835
Evaluation returns: 110.22951843787783
Evaluation returns: 102.2719691945471
Evaluation returns: 97.84296284917488
Evaluation returns: 93.29785809746438
Evaluation returns: 87.94301486753591
Evaluation returns: 85.98029836073894
Evaluation returns: 91.3819339589929
Evaluation returns: 96.3585175794513
Evaluation returns: 76.58092402961611
Evaluation returns: 70.58457645998001
Evaluation returns: 73.17143262602463
Evaluation returns: 68.5680727679474
Evaluation returns: 70.98724130364812
Evaluation returns: 62.28977621329487
Evaluation returns: 67.8256869703115
Evaluation returns: 68.95583854074586
Evaluation returns: 71.44304159659137
Evaluation returns: 75.78310972295898
Evaluation returns: 85.74975617991966
Evaluation returns: 91.75975387862009
Evaluation returns: 102.07233172117756
Evaluation returns: 106.94787976099128
Evaluation returns: 111.90711543290561
Evaluation returns: 133.91886120880028
Evaluation returns: 138.95846004500208
Evaluation returns: 143.76928065911997
Evaluation returns: 140.75162185208086
Evaluation returns: 146.68507537630904
Evaluation returns: 157.43703230901502
Evaluation returns: 165.786653007747
Evaluation returns: 159.21545352520775
Evaluation returns: 167.03582503125793
Evaluation returns: 170.41894790398382
Evaluation returns: 160.54632071242688
Evaluation returns: 159.26695112989768
Evaluation returns: 154.0495157521278
Evaluation returns: 151.43396905383125
