Wed Jun 24 23:06:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:CF:00.0 Off |                    0 |
|  0%   35C    P0             16W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 29100, Returns: -20.370, Epsilon: 0.9424
Step: 29200, Returns: -20.360, Epsilon: 0.9422
Step: 29300, Returns: -20.330, Epsilon: 0.9420
Step: 29400, Returns: -20.330, Epsilon: 0.9418
Step: 29500, Returns: -20.330, Epsilon: 0.9416
Step: 29600, Returns: -20.330, Epsilon: 0.9414
Step: 29700, Returns: -20.350, Epsilon: 0.9412
Step: 29800, Returns: -20.340, Epsilon: 0.9410
Step: 29900, Returns: -20.340, Epsilon: 0.9408
Step: 30000, Returns: -20.340, Epsilon: 0.9406
Step: 30100, Returns: -20.330, Epsilon: 0.9404
Step: 30200, Returns: -20.340, Epsilon: 0.9402
Step: 30300, Returns: -20.340, Epsilon: 0.9400
Step: 30400, Returns: -20.330, Epsilon: 0.9398
Step: 30500, Returns: -20.340, Epsilon: 0.9396
Step: 30600, Returns: -20.340, Epsilon: 0.9394
Updating target network...
Step: 30700, Returns: -20.340, Epsilon: 0.9392
Step: 30800, Returns: -20.290, Epsilon: 0.9390
Step: 30900, Returns: -20.290, Epsilon: 0.9388
Step: 31000, Returns: -20.280, Epsilon: 0.9386
Step: 31100, Returns: -20.260, Epsilon: 0.9384
Step: 31200, Returns: -20.250, Epsilon: 0.9382
Step: 31300, Returns: -20.260, Epsilon: 0.9380
Step: 31400, Returns: -20.270, Epsilon: 0.9378
Step: 31500, Returns: -20.290, Epsilon: 0.9376
Step: 31600, Returns: -20.290, Epsilon: 0.9374
Step: 31700, Returns: -20.270, Epsilon: 0.9372
Step: 31800, Returns: -20.280, Epsilon: 0.9370
Step: 31900, Returns: -20.270, Epsilon: 0.9368
Step: 32000, Returns: -20.250, Epsilon: 0.9366
Step: 32100, Returns: -20.240, Epsilon: 0.9364
Step: 32200, Returns: -20.230, Epsilon: 0.9362
Step: 32300, Returns: -20.200, Epsilon: 0.9360
Step: 32400, Returns: -20.200, Epsilon: 0.9358
Step: 32500, Returns: -20.210, Epsilon: 0.9357
Step: 32600, Returns: -20.200, Epsilon: 0.9355
Step: 32700, Returns: -20.200, Epsilon: 0.9353
Step: 32800, Returns: -20.190, Epsilon: 0.9351
Step: 32900, Returns: -20.180, Epsilon: 0.9349
Step: 33000, Returns: -20.180, Epsilon: 0.9347
Step: 33100, Returns: -20.180, Epsilon: 0.9345
Updating target network...
Step: 33200, Returns: -20.190, Epsilon: 0.9343
Step: 33300, Returns: -20.170, Epsilon: 0.9341
Step: 33400, Returns: -20.150, Epsilon: 0.9339
Step: 33500, Returns: -20.150, Epsilon: 0.9337
Step: 33600, Returns: -20.130, Epsilon: 0.9335
Step: 33700, Returns: -20.120, Epsilon: 0.9333
Step: 33800, Returns: -20.130, Epsilon: 0.9331
Step: 33900, Returns: -20.150, Epsilon: 0.9329
Step: 34000, Returns: -20.130, Epsilon: 0.9327
Step: 34100, Returns: -20.120, Epsilon: 0.9325
Step: 34200, Returns: -20.110, Epsilon: 0.9323
Step: 34300, Returns: -20.110, Epsilon: 0.9321
Step: 34400, Returns: -20.110, Epsilon: 0.9319
Step: 34500, Returns: -20.130, Epsilon: 0.9317
Step: 34600, Returns: -20.130, Epsilon: 0.9315
Step: 34700, Returns: -20.130, Epsilon: 0.9313
Step: 34800, Returns: -20.150, Epsilon: 0.9311
Step: 34900, Returns: -20.170, Epsilon: 0.9309
Step: 35000, Returns: -20.170, Epsilon: 0.9307
Step: 35100, Returns: -20.150, Epsilon: 0.9305
Step: 35200, Returns: -20.160, Epsilon: 0.9303
Step: 35300, Returns: -20.160, Epsilon: 0.9301
Step: 35400, Returns: -20.160, Epsilon: 0.9299
Step: 35500, Returns: -20.170, Epsilon: 0.9297
Step: 35600, Returns: -20.160, Epsilon: 0.9295
Updating target network...
Step: 35700, Returns: -20.170, Epsilon: 0.9293
Step: 35800, Returns: -20.170, Epsilon: 0.9291
Step: 35900, Returns: -20.160, Epsilon: 0.9289
Step: 36000, Returns: -20.170, Epsilon: 0.9287
Step: 36100, Returns: -20.150, Epsilon: 0.9285
Step: 36200, Returns: -20.150, Epsilon: 0.9283
Step: 36300, Returns: -20.150, Epsilon: 0.9281
Step: 36400, Returns: -20.170, Epsilon: 0.9279
Step: 36500, Returns: -20.170, Epsilon: 0.9277
Step: 36600, Returns: -20.170, Epsilon: 0.9275
Step: 36700, Returns: -20.170, Epsilon: 0.9273
Step: 36800, Returns: -20.190, Epsilon: 0.9271
Step: 36900, Returns: -20.210, Epsilon: 0.9269
Step: 37000, Returns: -20.210, Epsilon: 0.9267
Step: 37100, Returns: -20.220, Epsilon: 0.9265
Step: 37200, Returns: -20.210, Epsilon: 0.9263
Step: 37300, Returns: -20.200, Epsilon: 0.9261
Step: 37400, Returns: -20.190, Epsilon: 0.9259
Step: 37500, Returns: -20.160, Epsilon: 0.9258
Step: 37600, Returns: -20.160, Epsilon: 0.9256
Step: 37700, Returns: -20.170, Epsilon: 0.9254
Step: 37800, Returns: -20.180, Epsilon: 0.9252
Step: 37900, Returns: -20.190, Epsilon: 0.9250
Step: 38000, Returns: -20.200, Epsilon: 0.9248
Step: 38100, Returns: -20.200, Epsilon: 0.9246
Updating target network...
Step: 38200, Returns: -20.220, Epsilon: 0.9244
Step: 38300, Returns: -20.220, Epsilon: 0.9242
Step: 38400, Returns: -20.240, Epsilon: 0.9240
Step: 38500, Returns: -20.240, Epsilon: 0.9238
Step: 38600, Returns: -20.240, Epsilon: 0.9236
Step: 38700, Returns: -20.250, Epsilon: 0.9234
Step: 38800, Returns: -20.230, Epsilon: 0.9232
Step: 38900, Returns: -20.240, Epsilon: 0.9230
Step: 39000, Returns: -20.250, Epsilon: 0.9228
Step: 39100, Returns: -20.240, Epsilon: 0.9226
Step: 39200, Returns: -20.250, Epsilon: 0.9224
Step: 39300, Returns: -20.220, Epsilon: 0.9222
Step: 39400, Returns: -20.220, Epsilon: 0.9220
Step: 39500, Returns: -20.240, Epsilon: 0.9218
Step: 39600, Returns: -20.250, Epsilon: 0.9216
Step: 39700, Returns: -20.250, Epsilon: 0.9214
Step: 39800, Returns: -20.220, Epsilon: 0.9212
Step: 39900, Returns: -20.220, Epsilon: 0.9210
Step: 40000, Returns: -20.200, Epsilon: 0.9208
Step: 40100, Returns: -20.210, Epsilon: 0.9206
Step: 40200, Returns: -20.210, Epsilon: 0.9204
Step: 40300, Returns: -20.180, Epsilon: 0.9202
Step: 40400, Returns: -20.180, Epsilon: 0.9200
Step: 40500, Returns: -20.150, Epsilon: 0.9198
Step: 40600, Returns: -20.140, Epsilon: 0.9196
Updating target network...
Step: 40700, Returns: -20.140, Epsilon: 0.9194
Step: 40800, Returns: -20.150, Epsilon: 0.9192
Step: 40900, Returns: -20.100, Epsilon: 0.9190
Step: 41000, Returns: -20.080, Epsilon: 0.9188
Step: 41100, Returns: -20.100, Epsilon: 0.9186
Step: 41200, Returns: -20.100, Epsilon: 0.9184
Step: 41300, Returns: -20.110, Epsilon: 0.9182
Step: 41400, Returns: -20.070, Epsilon: 0.9180
Step: 41500, Returns: -20.070, Epsilon: 0.9178
Step: 41600, Returns: -20.090, Epsilon: 0.9176
Step: 41700, Returns: -20.090, Epsilon: 0.9174
Step: 41800, Returns: -20.090, Epsilon: 0.9172
Step: 41900, Returns: -20.060, Epsilon: 0.9170
Step: 42000, Returns: -20.060, Epsilon: 0.9168
Step: 42100, Returns: -20.050, Epsilon: 0.9166
Step: 42200, Returns: -20.060, Epsilon: 0.9164
Step: 42300, Returns: -20.060, Epsilon: 0.9162
Step: 42400, Returns: -20.040, Epsilon: 0.9160
Step: 42500, Returns: -20.040, Epsilon: 0.9159
Step: 42600, Returns: -20.030, Epsilon: 0.9157
Step: 42700, Returns: -20.020, Epsilon: 0.9155
